wFormatTag : 0xFFFE
nChannels : 2
nSamplesPerSec : 48000
nAvgBytesPerSec : 192000
nBlockAlign : 4
wBitsPerSample : 16
2		0.000000		0.000000		480
Right, R:0, G:0 B:0
4		0.000000		0.000000		480
Right, R:0, G:0 B:0
6		0.000000		0.000000		480
Right, R:0, G:0 B:0
8		0.000000		0.000000		480
Right, R:0, G:0 B:0
10		0.000000		0.000000		480
Right, R:0, G:0 B:0
12		0.000000		0.000000		480
Right, R:0, G:0 B:0
14		0.000000		0.000000		480
Right, R:0, G:0 B:0
16		0.000000		0.000000		480
Right, R:0, G:0 B:0
18		0.000000		0.000000		480
Right, R:0, G:0 B:0
20		0.000000		0.000000		480
Right, R:0, G:0 B:0
22		0.000000		0.000000		480
Right, R:0, G:0 B:0
24		0.000000		0.000000		480
Right, R:0, G:0 B:0
26		0.000000		0.000000		480
Right, R:0, G:0 B:0
28		0.000000		0.000000		480
Right, R:0, G:0 B:0
30		0.000000		0.000000		480
Right, R:0, G:0 B:0
32		0.000000		0.000000		480
Right, R:0, G:0 B:0
34		0.000000		0.000000		480
Right, R:0, G:0 B:0
36		0.000000		0.000000		480
Right, R:0, G:0 B:0
38		0.000000		0.000000		480
Right, R:0, G:0 B:0
40		0.000000		0.000000		480
Right, R:0, G:0 B:0
42		0.000000		0.000000		480
Right, R:0, G:0 B:0
44		0.000000		0.000000		480
Right, R:0, G:0 B:0
46		0.000000		0.000000		480
Right, R:0, G:0 B:0
48		0.000000		0.000000		480
Right, R:0, G:0 B:0
50		0.000000		0.000000		480
Right, R:0, G:0 B:0
52		0.000000		0.000000		480
Right, R:0, G:0 B:0
54		0.000000		0.000000		480
Right, R:0, G:0 B:0
56		0.000000		0.000000		480
Right, R:0, G:0 B:0
58		0.000000		0.000000		480
Right, R:0, G:0 B:0
60		0.000000		0.000000		480
Right, R:0, G:0 B:0
62		0.000000		0.000000		480
Right, R:0, G:0 B:0
64		0.000000		0.000000		480
Right, R:0, G:0 B:0
66		0.000000		0.000000		480
Right, R:0, G:0 B:0
68		0.000000		0.000000		480
Right, R:0, G:0 B:0
70		0.000000		0.000000		480
Right, R:0, G:0 B:0
72		0.000000		0.000000		480
Right, R:0, G:0 B:0
74		0.000000		0.000000		480
Right, R:0, G:0 B:0
76		0.000000		0.000000		480
Right, R:0, G:0 B:0
